date,nav,cash,invested,drawdown,is_circuit
2015-09-22,1015703.5062217154,378600.4716700995,637103.034551616,-0.002595233808557712,0
2015-09-23,1015771.9319897746,378600.4716700995,637171.460319675,-0.0025280407873910886,0
2015-09-24,1015758.5857051914,378600.4716700995,637158.114035092,-0.0025411466276020374,0
2015-09-25,1015667.4432426649,378600.4716700995,637066.9715725655,-0.0026306470831675226,0
2015-09-28,1015793.1157261725,378600.4716700995,637192.6440560729,-0.0025072386935521204,0
2015-09-29,1016257.1697704422,378600.4716700995,637656.6981003426,-0.002051544967292596,0
2015-09-30,1017281.9762437677,378600.4716700995,638681.5045736681,-0.0010452012314902828,0
2015-10-08,1016857.8020212888,379185.79657817946,637672.0054431093,-0.0014617336039832733,0
2015-10-09,1014416.4450054584,379185.79657817946,635230.648427279,-0.0038591075508568715,0
2015-10-12,1016436.1783886703,379185.79657817946,637250.3818104909,-0.0018757613376049827,0
2015-10-13,1016018.0414011983,379185.79657817946,636832.2448230188,-0.002286365240880804,0
2015-10-14,1017195.2329325124,379185.79657817946,638009.436354333,-0.00113038179013878,0
2015-10-15,1016610.6547775848,379185.79657817946,637424.8581994054,-0.0017044282853656046,0
2015-10-16,1015131.776164534,379185.79657817946,635945.9795863546,-0.0031566636751619937,0
2015-10-19,1015326.8639503646,379185.79657817946,636141.0673721852,-0.0029650905573955716,0
2015-10-20,1017172.477462489,379185.79657817946,637986.6808843096,-0.0011527273015200172,0
2015-10-21,1016878.8458129863,379185.79657817946,637693.0492348068,-0.0014410689336250106,0
2015-10-22,1016539.4630041135,379185.79657817946,637353.6664259341,-0.0017743374800655808,0
2015-10-23,1017046.0404376455,379185.79657817946,637860.243859466,-0.0012768864586259242,0
2015-10-26,1017519.6831065875,379185.79657817946,638333.886528408,-0.0008117768547104151,0
2015-10-27,1018193.4071209142,379185.79657817946,639007.6105427347,-0.00015019053658620111,0
2015-10-28,1018876.0361124078,379185.79657817946,639690.2395342283,0.0,0
2015-10-29,1017878.1021433291,379185.79657817946,638692.3055651496,-0.0009794459126611595,0
2015-10-30,1018162.5481747921,379185.79657817946,638976.7515966126,-0.0007002696229249649,0
2015-11-02,1018290.8005880057,379185.79657817946,639105.0040098262,-0.0005743932565487782,0
2015-11-03,1018083.7459523282,379185.79657817946,638897.9493741487,-0.0007776119292221663,0
2015-11-04,1016814.2303904309,379185.79657817946,637628.4338122514,-0.00202360802384152,0
2015-11-05,1016793.1461771837,379185.79657817946,637607.3495990043,-0.0020443016239458287,0
2015-11-06,1016225.6245193863,379185.79657817946,637039.8279412069,-0.0026013091868705685,0
2015-11-09,1012721.1694186365,379185.79657817946,633535.372840457,-0.006040839587567148,0
2015-11-10,1013792.4190235193,379185.79657817946,634606.6224453398,-0.004989436308940421,0
2015-11-11,1015280.6754300682,379185.79657817946,636094.8788518887,-0.0035287518352654446,0
2015-11-12,1015638.0805795081,379185.79657817946,636452.2840013286,-0.003177968092423051,0
2015-11-13,1015643.5469553933,379185.79657817946,636457.7503772138,-0.003172602988434504,0
2015-11-16,1015762.3052766047,379185.79657817946,636576.5086984253,-0.003056044823356276,0
2015-11-17,1016196.4166192658,379185.79657817946,637010.6200410863,-0.002629975971724958,0
2015-11-18,1015534.7555425152,379185.79657817946,636348.9589643357,-0.0032793788954360898,0
2015-11-19,1015758.113218119,379185.79657817946,636572.3166399396,-0.003060159218373058,0
2015-11-20,1015829.2367369509,379185.79657817946,636643.4401587715,-0.0029903533574919955,0
2015-11-23,1015873.6453242819,379185.79657817946,636687.8487461024,-0.0029467674984110454,0
2015-11-24,1016736.4016337189,379185.79657817946,637550.6050555394,-0.002099994899136957,0
2015-11-25,1016768.9596697069,379185.79657817946,637583.1630915274,-0.002068040044145727,0
2015-11-26,1017553.0780990486,379185.79657817946,638367.2815208691,-0.0012984484534615836,0
2015-11-27,1017381.8557582723,379185.79657817946,638196.0591800929,-0.00146649867223947,0
2015-11-30,1017837.4280427825,379185.79657817946,638651.631464603,-0.0010193664713012732,0
2015-12-01,1017418.8858141752,379394.74577207,638024.1400421052,-0.0014301546474607646,0
2015-12-02,1018024.8677946203,379394.74577207,638630.1220225503,-0.0008353992906096383,0
2015-12-03,1018182.2974719026,379394.74577207,638787.5516998325,-0.0006808862078572839,0
2015-12-04,1018163.6497294591,379394.74577207,638768.9039573891,-0.0006991884760258797,0
2015-12-07,1018398.4801842921,379394.74577207,639003.734412222,-0.00046870856825515373,0
2015-12-08,1018612.2347181343,379394.74577207,639217.4889460643,-0.0002589141219574459,0
2015-12-09,1018540.722701355,379394.74577207,639145.976929285,-0.0003291012833437677,0
2015-12-10,1018726.5310933063,379394.74577207,639331.7853212362,-0.00014673523942323135,0
2015-12-11,1018776.2183581111,379394.74577207,639381.4725860411,-9.796849740186637e-05,0
2015-12-14,1018353.2167038039,379394.74577207,638958.4709317338,-0.0005131334824585703,0
2015-12-15,1018631.812977158,379394.74577207,639237.067205088,-0.00023969857626807668,0
2015-12-16,1018954.9565855291,379394.74577207,639560.2108134591,0.0,0
2015-12-17,1019098.2968772933,379394.74577207,639703.5511052232,0.0,0
2015-12-18,1020118.1311126829,379394.74577207,640723.3853406128,0.0,0
2015-12-21,1021591.308637306,379394.74577207,642196.562865236,0.0,0
2015-12-22,1021362.1669996117,379394.74577207,641967.4212275416,-0.0002242987344909717,0
2015-12-23,1021531.4905130095,379394.74577207,642136.7447409395,-5.855386962550015e-05,0
2015-12-24,1022060.0717159038,379394.74577207,642665.3259438338,0.0,0
2015-12-25,1021955.190054752,379394.74577207,642560.444282682,-0.00010261790285544194,0
2015-12-28,1023617.2366662847,379394.74577207,644222.4908942147,0.0,0
2015-12-29,1023420.8648420641,379394.74577207,644026.1190699941,-0.00019184106830809266,0
2015-12-30,1023317.5971574518,379394.74577207,643922.8513853818,-0.0002927261266221055,0
2015-12-31,1014620.0360412067,379394.74577207,635225.2902691367,-0.008789614225704253,0
2016-01-04,1013356.9707826047,379394.74577207,633962.2250105346,-0.010023537623394956,0
2016-01-05,1013250.4751449133,379394.74577207,633855.7293728433,-0.010127576158383075,0
2016-01-06,1013395.3457841565,379394.74577207,634000.6000120864,-0.009986048022617232,0
2016-01-07,1013820.6593024386,379394.74577207,634425.9135303686,-0.009570547479008467,0
2016-01-08,1014790.7226439628,379394.74577207,635395.9768718928,-0.00862286576090501,0
2016-01-11,1015000.5513372907,379394.74577207,635605.8055652207,-0.008417878304840656,0
2016-01-12,1016038.1681695677,379394.74577207,636643.4223974977,-0.007404201712546893,0
2016-01-13,1016499.2795107696,379394.74577207,637104.5337386996,-0.006953729285271557,0
2016-01-14,1016016.2271030208,379394.74577207,636621.4813309507,-0.0074256365475233,0
2016-01-15,1016416.2226015922,379394.74577207,637021.4768295222,-0.007034869877870361,0
2016-01-18,1016028.1536246487,379394.74577207,636633.4078525787,-0.007413985198561287,0
2016-01-19,1015013.5756336197,379394.74577207,635618.8298615497,-0.008405154509399868,0
2016-01-20,1014899.3955730204,379394.74577207,635504.6498009504,-0.008516700169739756,0
2016-01-21,1015771.6147324139,379394.74577207,636376.8689603439,-0.007664605140318312,0
2016-01-22,1015909.415207124,379394.74577207,636514.669435054,-0.007529984043902573,0
2016-01-25,1015435.5448842502,379394.74577207,636040.7991121801,-0.007992921073389413,0
2016-01-26,1015698.8703683248,379394.74577207,636304.1245962548,-0.007735671122292212,0
2016-01-27,1015028.8281648632,379394.74577207,635634.0823927931,-0.00839025388962019,0
2016-01-28,1014798.9376961853,379394.74577207,635404.1919241153,-0.008614840249094325,0
2016-01-29,1015046.4435036296,379394.74577207,635651.6977315596,-0.008373044977797006,0
2016-02-01,1014812.2868741647,52468.51655463944,962343.7703195253,-0.008601799067780426,0
2016-02-02,1014687.49068048,52468.51655463944,962218.9741258406,-0.008723715922259274,0
2016-02-03,1015703.1473154614,52468.51655463944,963234.630760822,-0.00773149285429963,0
2016-02-04,1015412.632078012,52468.51655463944,962944.1155233725,-0.008015305227756318,0
2016-02-05,1015690.1196020572,52468.51655463944,963221.6030474177,-0.007744219987975786,0
2016-02-15,1017408.5386845046,52468.51655463944,964940.0221298651,-0.006065448841014676,0
2016-02-16,1017373.7604282894,52468.51655463944,964905.24387365,-0.006099424681758059,0
2016-02-17,1017399.313717892,52468.51655463944,964930.7971632526,-0.006074460966135363,0
2016-02-18,1016844.4649398513,52468.51655463944,964375.9483852119,-0.006616508088991325,0
2016-02-19,1017665.4546650904,52468.51655463944,965196.938110451,-0.005814460511214199,0
2016-02-22,1017637.0412395789,52468.51655463944,965168.5246849394,-0.005842218372740741,0
2016-02-23,1018161.4651002929,52468.51655463944,965692.9485456535,-0.005329894193419556,0
2016-02-24,1019577.0636059311,52468.51655463944,967108.5470512917,-0.003946956846400558,0
2016-02-25,1018840.2614279246,52468.51655463944,966371.7448732852,-0.004666759279980242,0
2016-02-26,1019546.528570185,52468.51655463944,967078.0120155455,-0.003976787367666122,0
2016-02-29,1019647.1545588272,52468.51655463944,967178.6380041877,-0.0038784830552358843,0
2016-03-01,1020969.4506690396,52468.51655463944,968500.9341144002,-0.0025866953998043424,0
2016-03-02,1021306.2008579699,52468.51655463944,968837.6843033305,-0.002257714823014685,0
2016-03-03,1020709.4704673364,52468.51655463944,968240.9539126969,-0.002840677251995467,0
2016-03-04,1020191.521555745,52468.51655463944,967723.0050011056,-0.003346675874369365,0
2016-03-07,1019891.671233264,52468.51655463944,967423.1546786246,-0.0036396079506770714,0
2016-03-08,1020084.4367696105,52468.51655463944,967615.9202149711,-0.0034512899647722315,0
2016-03-09,1020750.8337910932,52468.51655463944,968282.3172364538,-0.002800268276574581,0
2016-03-10,1021922.7804180183,52468.51655463944,969454.2638633789,-0.0016553611912445833,0
2016-03-11,1024417.2272403645,52468.51655463944,971948.7106857251,0.0,0
2016-03-14,1022195.380162709,52468.51655463944,969726.8636080696,-0.0021688888263240477,0
2016-03-15,1021897.6514504626,52468.51655463944,969429.1348958232,-0.0024595211041982135,0
2016-03-16,1023448.9684045856,52468.51655463944,970980.4518499462,-0.0009451801570999286,0
